,Nome,Sexo,Profissão,Salário atual,Estado Civil,Predição KNN,Predição Árvore
64,Stella da Cruz,Feminino,Engenheiro de Software,11704.52,Solteiro,Provável Mal Pagador,Provável Pagador Regular
65,Alexia Campos,Feminino,Designer Gráfico,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
66,Sr. Thales Novaes,Masculino,Arquiteto de Dados,12621.57,Divorciado,Provável Pagador Regular,Provável Pagador Regular
67,Dr. Pedro Miguel da Paz,Feminino,Chefe de Cozinha,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
68,Dra. Juliana Pereira,Masculino,Contador,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
69,João Pedro Silveira,Feminino,Técnico de Enfermagem,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
70,Alexandre Souza,Feminino,Gerente de Projetos,15251.46,Viúvo,Provável Pagador Regular,Provável Pagador Regular
71,Sr. Bryan Jesus,Masculino,Professor,10413.38,Casado,Provável Pagador Regular,Provável Pagador Regular
72,Sra. Alexia Vieira,Masculino,Analista de Marketing,3136.72,Solteiro,Provável Mal Pagador,Provável Pagador Regular
73,Mirella Martins,Feminino,Cozinheiro,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
74,Raul Moreira,Feminino,Gerente de Projetos,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
75,Sarah Oliveira,Masculino,Operador de Máquinas,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
76,Sra. Júlia Aragão,Masculino,Gerente de Projetos,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
77,Maria Luiza Viana,Feminino,Cientista de Dados,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
78,Vitor Gabriel Aragão,Masculino,Chefe de Cozinha,17603.46,Divorciado,Provável Mal Pagador,Provável Pagador Regular
79,Felipe Ferreira,Masculino,Desenvolvedor de Software,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
80,Lívia da Cruz,Masculino,Engenheiro de Software,5603.06,Solteiro,Provável Pagador Regular,Provável Pagador Regular
81,Luiza Azevedo,Feminino,Gerente de Projetos,17138.82,Solteiro,Provável Mal Pagador,Provável Pagador Regular
82,Dra. Natália Costa,Masculino,Desenvolvedor Front-End,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
83,Ana Júlia Dias,Feminino,Analista de Sistemas,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
84,Alícia Duarte,Masculino,Chefe de Cozinha,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
85,Benício Nogueira,Feminino,Agente de Suporte,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
86,Pedro Miguel da Rocha,Masculino,Desenvolvedor de Software,19598.86,Solteiro,Provável Mal Pagador,Provável Pagador Regular
87,Gabriel Moura,Masculino,Arquiteto,4272.01,Divorciado,Provável Mal Pagador,Provável Pagador Regular
88,Raquel da Paz,Masculino,Motorista,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
89,Laís Mendes,Masculino,Analista de Sistemas,4415.82,Divorciado,Provável Mal Pagador,Provável Pagador Regular
90,Enzo Gabriel Cavalcanti,Feminino,Contador,5058.61,Viúvo,Provável Mal Pagador,Provável Pagador Regular
91,Vitor Hugo Oliveira,Feminino,Mecânico,9469.35,Casado,Provável Mal Pagador,Provável Pagador Regular
92,Lorena Vieira,Masculino,Professor Universitário,13762.32,Divorciado,Provável Pagador Regular,Provável Pagador Regular
93,Dr. Thales Melo,Masculino,Cientista de Dados,13614.29,Casado,Provável Mal Pagador,Provável Pagador Regular
94,Henrique Correia,Feminino,Chefe de Cozinha,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
95,Sra. Letícia Araújo,Feminino,Vendedor,7428.65,Viúvo,Provável Mal Pagador,Provável Pagador Regular
96,Srta. Emanuelly Pinto,Masculino,Analista de Segurança da Informação,0.0,Casado,Provável Pagador Regular,Provável Pagador Regular
97,Maria Luiza da Cunha,Masculino,Psicólogo,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
98,Isaac Cavalcanti,Feminino,Fotógrafo,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
99,Bernardo Sales,Masculino,Recepcionista,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
100,Murilo Monteiro,Feminino,Arquiteto de Dados,16614.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
101,Heloísa da Conceição,Masculino,Assistente Administrativo,1524.91,Divorciado,Provável Mal Pagador,Provável Pagador Regular
102,Kevin Moreira,Feminino,Assistente Administrativo,11149.16,Solteiro,Provável Pagador Regular,Provável Pagador Regular
103,Emanuel da Cunha,Masculino,Gerente de Projetos,11470.26,Viúvo,Provável Pagador Regular,Provável Pagador Regular
104,Dr. João Vitor Fogaça,Masculino,Publicitário,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
105,Pedro Miguel Souza,Masculino,Contador,8441.47,Divorciado,Provável Pagador Regular,Provável Pagador Regular
106,Marcela Rocha,Feminino,Desenvolvedor de Software,5777.33,Solteiro,Provável Mal Pagador,Provável Pagador Regular
107,Ana Beatriz Vieira,Masculino,Técnico de Enfermagem,1850.63,Divorciado,Provável Pagador Regular,Provável Pagador Regular
108,Gustavo Henrique Ferreira,Feminino,Médico Pediatra,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
109,Calebe Pires,Feminino,Técnico de Enfermagem,8121.62,Casado,Provável Pagador Regular,Provável Pagador Regular
110,Alana Silveira,Masculino,Motorista,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
111,Laura Fogaça,Feminino,Analista de Marketing,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
112,Ana Vitória da Paz,Masculino,Chefe de Cozinha,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
113,Natália Cavalcanti,Masculino,Agente de Suporte,4934.09,Divorciado,Provável Mal Pagador,Provável Pagador Regular
114,Theo da Mata,Masculino,Engenheiro de Software,13507.43,Viúvo,Provável Pagador Regular,Provável Pagador Regular
115,Dr. Marcelo Dias,Feminino,Enfermeiro,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
116,Esther Gomes,Masculino,Engenheiro de Dados,2583.61,Viúvo,Provável Mal Pagador,Provável Pagador Regular
117,Rafaela Correia,Feminino,Consultor de Vendas,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
118,Davi Luiz Azevedo,Feminino,Chefe de Cozinha,7664.45,Divorciado,Provável Pagador Regular,Provável Pagador Regular
119,Erick Pereira,Feminino,Vendedor,3976.08,Divorciado,Provável Mal Pagador,Provável Pagador Regular
120,Eloah Fogaça,Feminino,Advogado,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
121,Pedro Lucas Melo,Feminino,Motorista,4767.97,Casado,Provável Mal Pagador,Provável Pagador Regular
122,Alícia Oliveira,Masculino,Analista de BI,6305.43,Solteiro,Provável Mal Pagador,Provável Pagador Regular
123,Sra. Valentina Campos,Masculino,Técnico de Informática,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
124,João Gabriel Novaes,Masculino,Arquiteto de Dados,18478.9,Divorciado,Provável Pagador Regular,Provável Pagador Regular
125,Gabriel Novaes,Masculino,Analista Financeiro,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
126,Davi Lucca Fogaça,Masculino,Assistente de RH,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
127,Sophia Pinto,Feminino,Professor,4106.42,Viúvo,Provável Pagador Regular,Provável Pagador Regular
128,Diego Pires,Masculino,Analista de Segurança da Informação,6034.48,Divorciado,Provável Mal Pagador,Provável Pagador Regular
129,Diogo Porto,Masculino,Cozinheiro,8584.34,Divorciado,Provável Mal Pagador,Provável Pagador Regular
130,João Gabriel Pires,Feminino,Assistente Administrativo,9647.53,Solteiro,Provável Mal Pagador,Provável Pagador Regular
131,Bruno Ribeiro,Feminino,Assistente de RH,19497.34,Divorciado,Provável Mal Pagador,Provável Pagador Regular
132,João Vitor Pinto,Feminino,Fotógrafo,19154.2,Solteiro,Provável Mal Pagador,Provável Pagador Regular
133,João Lucas Alves,Feminino,Publicitário,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
134,Sophie Nascimento,Masculino,Arquiteto,17806.04,Viúvo,Provável Pagador Regular,Provável Pagador Regular
135,Emanuelly Fernandes,Masculino,Farmacêutico,12014.01,Solteiro,Provável Mal Pagador,Provável Pagador Regular
136,Bruno Jesus,Feminino,Cientista de Dados,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
137,João Miguel Moura,Feminino,Engenheiro de Dados,5898.17,Casado,Provável Mal Pagador,Provável Pagador Regular
138,Heloísa Barros,Masculino,Professor,9667.54,Viúvo,Provável Mal Pagador,Provável Pagador Regular
139,Eloah Ribeiro,Feminino,Analista Financeiro,8765.39,Viúvo,Provável Pagador Regular,Provável Pagador Regular
140,Luiz Gustavo Nascimento,Feminino,Engenheiro de Dados,19641.04,Solteiro,Provável Mal Pagador,Provável Pagador Regular
141,Srta. Ana Julia Fernandes,Feminino,Recepcionista,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
142,Natália Novaes,Masculino,Desenvolvedor Front-End,13390.21,Casado,Provável Mal Pagador,Provável Pagador Regular
143,Leandro Martins,Feminino,Analista de Segurança da Informação,8628.56,Viúvo,Provável Mal Pagador,Provável Pagador Regular
144,Rodrigo Carvalho,Masculino,Analista de BI,7775.81,Viúvo,Provável Pagador Regular,Provável Pagador Regular
145,Dra. Eloah Moreira,Masculino,Professor,5595.57,Casado,Provável Mal Pagador,Provável Pagador Regular
146,Davi Lima,Feminino,Psicólogo,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
147,Rafaela Correia,Feminino,Fotógrafo,8687.92,Solteiro,Provável Mal Pagador,Provável Pagador Regular
148,Ana Júlia Farias,Masculino,Motorista,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
149,Caroline Cardoso,Feminino,Contador,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
150,Joaquim Lima,Feminino,Publicitário,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
151,Sarah Santos,Feminino,Consultor de Vendas,16516.52,Solteiro,Provável Pagador Regular,Provável Pagador Regular
152,Matheus Pires,Masculino,Analista de Marketing,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
153,Bárbara da Mata,Masculino,Farmacêutico,19656.56,Casado,Provável Mal Pagador,Provável Pagador Regular
154,Agatha Lima,Masculino,Engenheiro de Software,3756.53,Casado,Provável Mal Pagador,Provável Pagador Regular
155,Srta. Stephany Moreira,Masculino,Cozinheiro,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
156,Mirella Freitas,Feminino,Médico Pediatra,6855.03,Casado,Provável Mal Pagador,Provável Pagador Regular
157,Lucca da Costa,Masculino,Engenheiro de Software,15653.85,Solteiro,Provável Mal Pagador,Provável Pagador Regular
158,João Gabriel Rezende,Masculino,Arquiteto,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
159,Alice Campos,Feminino,Desenvolvedor de Software,11931.2,Divorciado,Provável Pagador Regular,Provável Pagador Regular
160,Stella Rocha,Masculino,Publicitário,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
161,Alexandre da Conceição,Feminino,Farmacêutico,15334.93,Casado,Provável Pagador Regular,Provável Pagador Regular
162,Sr. Fernando da Rocha,Feminino,Advogado,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
163,Sr. Marcelo Correia,Feminino,Recepcionista,8105.27,Viúvo,Provável Pagador Regular,Provável Pagador Regular
164,Sr. André Pereira,Feminino,Analista de Sistemas,10863.22,Viúvo,Provável Mal Pagador,Provável Pagador Regular
165,Catarina da Rocha,Feminino,Desenvolvedor Back-End,0.0,Casado,Provável Pagador Regular,Provável Pagador Regular
166,Erick Vieira,Feminino,Gerente de Projetos,0.0,Divorciado,Provável Pagador Regular,Provável Pagador Regular
167,Emanuella Farias,Feminino,Chefe de Cozinha,4323.62,Casado,Provável Mal Pagador,Provável Pagador Regular
168,Sra. Maitê Costa,Masculino,Desenvolvedor de Software,6078.83,Solteiro,Provável Mal Pagador,Provável Pagador Regular
169,Felipe Ramos,Feminino,Recepcionista,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
170,Gustavo Henrique Santos,Masculino,Analista de Marketing,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
171,Luiz Otávio Azevedo,Masculino,Arquiteto de Dados,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
172,Dr. Miguel da Mota,Masculino,Analista de Segurança da Informação,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
173,João Gabriel Novaes,Masculino,Gerente de Projetos,9047.02,Viúvo,Provável Mal Pagador,Provável Pagador Regular
174,Dr. João Vitor Nunes,Feminino,Analista de Segurança da Informação,1708.6,Divorciado,Provável Pagador Regular,Provável Pagador Regular
175,Sr. Enzo Martins,Feminino,Arquiteto,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
176,Sr. Levi Fernandes,Feminino,Publicitário,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
177,Dr. Luigi Martins,Masculino,Gerente de Projetos,7490.44,Casado,Provável Mal Pagador,Provável Pagador Regular
178,Antônio Aragão,Masculino,Desenvolvedor Back-End,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
179,Benjamin da Paz,Masculino,Engenheiro de Dados,8116.57,Divorciado,Provável Mal Pagador,Provável Pagador Regular
180,Dr. Vitor da Costa,Feminino,Farmacêutico,19701.21,Solteiro,Provável Mal Pagador,Provável Pagador Regular
181,Vitor Hugo Viana,Feminino,Professor,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
182,Kamilly das Neves,Masculino,Publicitário,16910.37,Viúvo,Provável Mal Pagador,Provável Pagador Regular
183,Milena Barbosa,Masculino,Analista Financeiro,4439.25,Casado,Provável Mal Pagador,Provável Pagador Regular
184,Luigi Moreira,Feminino,Técnico de Enfermagem,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
185,Nicolas Silveira,Masculino,Desenvolvedor Front-End,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
186,Levi Moura,Masculino,Advogado,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
187,Lara Monteiro,Masculino,Engenheiro de Dados,1888.79,Divorciado,Provável Mal Pagador,Provável Pagador Regular
188,Luiza Ferreira,Masculino,Médico Pediatra,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
189,Luiz Miguel Cunha,Feminino,Técnico de Informática,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
190,Dr. Benjamin Correia,Masculino,Desenvolvedor de Software,16280.86,Divorciado,Provável Mal Pagador,Provável Pagador Regular
191,Letícia Oliveira,Feminino,Mecânico,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
192,Dra. Bárbara Teixeira,Masculino,Motorista,17856.47,Casado,Provável Pagador Regular,Provável Pagador Regular
193,Nicolas da Rocha,Feminino,Técnico de Enfermagem,17631.28,Solteiro,Provável Mal Pagador,Provável Pagador Regular
194,Gabrielly Araújo,Feminino,Professor Universitário,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
195,Júlia Caldeira,Feminino,Advogado,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
196,Luiz Gustavo Porto,Masculino,Desenvolvedor Back-End,2176.21,Viúvo,Provável Mal Pagador,Provável Pagador Regular
197,João Pedro Cunha,Masculino,Enfermeiro,2691.08,Solteiro,Provável Pagador Regular,Provável Pagador Regular
198,Eloah Moraes,Masculino,Agente de Suporte,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
199,Luiza Moreira,Masculino,Arquiteto de Dados,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
200,Diego Santos,Feminino,Farmacêutico,19842.53,Divorciado,Provável Pagador Regular,Provável Pagador Regular
201,Luiz Felipe Azevedo,Feminino,Motorista,2944.88,Solteiro,Provável Mal Pagador,Provável Pagador Regular
202,Maria Julia Teixeira,Masculino,Desenvolvedor Back-End,1560.11,Solteiro,Provável Mal Pagador,Provável Pagador Regular
203,Larissa Monteiro,Masculino,Motorista,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
204,Isadora Jesus,Masculino,Professor,18511.28,Casado,Provável Mal Pagador,Provável Pagador Regular
205,Emilly Fernandes,Masculino,Operador de Máquinas,9971.34,Divorciado,Provável Mal Pagador,Provável Pagador Regular
206,Joaquim Freitas,Masculino,Desenvolvedor Back-End,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
207,Gabriel Silveira,Masculino,Arquiteto,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
208,Enrico Cardoso,Feminino,Analista de Segurança da Informação,4563.36,Divorciado,Provável Mal Pagador,Provável Pagador Regular
209,Heitor Ribeiro,Masculino,Advogado,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
210,Nicolas da Luz,Feminino,Cientista de Dados,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
211,Ana Viana,Masculino,Analista de Sistemas,10864.17,Viúvo,Provável Mal Pagador,Provável Pagador Regular
212,Rodrigo da Rosa,Masculino,Analista Financeiro,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
213,Otávio da Costa,Masculino,Farmacêutico,0.0,Casado,Provável Pagador Regular,Provável Pagador Regular
214,Sr. Nicolas Oliveira,Masculino,Vendedor,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
215,Vitor Hugo das Neves,Masculino,Publicitário,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
216,Srta. Nicole Ribeiro,Feminino,Analista de Segurança da Informação,14793.36,Solteiro,Provável Mal Pagador,Provável Pagador Regular
217,Maria Julia Santos,Feminino,Enfermeiro,5627.3,Solteiro,Provável Mal Pagador,Provável Pagador Regular
218,Sabrina da Rocha,Feminino,Professor,13766.7,Viúvo,Provável Mal Pagador,Provável Pagador Regular
219,Dr. Bruno Silveira,Feminino,Contador,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
220,Dra. Larissa Aragão,Masculino,Advogado,3282.67,Viúvo,Provável Mal Pagador,Provável Pagador Regular
221,Davi Lucca Cunha,Masculino,Designer Gráfico,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
222,Ana Carolina Jesus,Feminino,Arquiteto,0.0,Solteiro,Provável Pagador Regular,Provável Pagador Regular
223,Kamilly Azevedo,Masculino,Cozinheiro,17241.76,Solteiro,Provável Mal Pagador,Provável Pagador Regular
224,Nicole Jesus,Feminino,Gerente de Projetos,0.0,Solteiro,Provável Mal Pagador,Provável Pagador Regular
225,Thiago Dias,Masculino,Cientista de Dados,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
226,Srta. Sophia Lima,Feminino,Recepcionista,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
227,Daniel Almeida,Masculino,Analista de Sistemas,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
228,Sr. Levi Cunha,Masculino,Mecânico,0.0,Viúvo,Provável Pagador Regular,Provável Pagador Regular
229,Bruno Ribeiro,Feminino,Técnico de Enfermagem,0.0,Divorciado,Provável Mal Pagador,Provável Pagador Regular
230,Breno Cardoso,Masculino,Eletricista,0.0,Casado,Provável Pagador Regular,Provável Pagador Regular
231,Theo Peixoto,Feminino,Mecânico,4241.23,Casado,Provável Mal Pagador,Provável Pagador Regular
232,Sra. Laura Cunha,Feminino,Assistente de RH,0.0,Casado,Provável Mal Pagador,Provável Pagador Regular
233,Luiz Gustavo Fernandes,Feminino,Farmacêutico,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
234,Juliana Alves,Feminino,Consultor de Vendas,0.0,Viúvo,Provável Mal Pagador,Provável Pagador Regular
235,Nicolas da Luz,Feminino,Desenvolvedor Back-End,7792.52,Casado,Provável Mal Pagador,Provável Pagador Regular
236,Enzo Melo,Feminino,Enfermeiro,16309.17,Viúvo,Provável Mal Pagador,Provável Pagador Regular
237,Bárbara Nascimento,Feminino,Desenvolvedor de Software,7817.71,Divorciado,Provável Pagador Regular,Provável Pagador Regular
